GluGlu_LFV,2016,2017,2018
Filter Efficiency,0.999,0.993,1.0
OppSign Efficiency,0.889,0.898,0.898
Trigger Efficiency,0.856,0.871,0.873
Kinematics Efficiency,0.652,0.628,0.627
DeltaR Efficiency,0.999,1.0,1.0
NJets Efficiency,0.947,0.957,0.95
Vetoes Efficiency,0.954,0.952,0.951
bjestVeto Efficiency,0.983,0.984,0.982
Obj1 ID Efficiency,0.987,0.986,0.989
Obj2 ID Efficiency,0.768,0.756,0.758
tDecayMode Efficiency,0.918,0.949,0.948
dimuonVeto Efficiency,0.999,1.0,0.999
Obj1 tight Efficiency,0.978,0.976,0.976
Obj2 tight Efficiency,0.546,0.621,0.599
Overall Cut Efficiency,0.307,0.309,0.31
VBF_LFV,2016,2017,2018
Filter Efficiency,0.998,0.991,0.999
OppSign Efficiency,0.834,0.841,0.84
Trigger Efficiency,0.841,0.856,0.859
Kinematics Efficiency,0.707,0.7,0.701
DeltaR Efficiency,0.999,0.999,0.999
NJets Efficiency,0.866,0.891,0.866
Vetoes Efficiency,0.902,0.904,0.894
bjestVeto Efficiency,0.966,0.966,0.963
Obj1 ID Efficiency,0.988,0.987,0.99
Obj2 ID Efficiency,0.766,0.756,0.758
tDecayMode Efficiency,0.903,0.928,0.927
dimuonVeto Efficiency,0.999,0.999,0.999
Obj1 tight Efficiency,0.983,0.98,0.978
Obj2 tight Efficiency,0.493,0.552,0.532
Overall Cut Efficiency,0.255,0.269,0.262
